Year,Total_Rainfall_mm,State,Average_Annual_Rainfall_per_sqkm
2015,2186.2000000000003,,
2015,2197.13,,
2015,1872.54,,
2015,1928.8,,
2015,2404.79,,
2015,2308.06,,
2015,2177.465,,
2015,2744.15,,
2015,1889.925,,
2015,3427.5800000000004,,
2015,2918.445,,
2015,2540.04,,
2015,2212.035,,
2015,3044.8333333333335,,
2015,2840.4,,
2015,3044.8333333333335,,
2016,1864.622,,
2016,1956.3333333333333,,
2016,2566.6266666666666,,
2016,2102.69,,
2016,1694.14,,
2016,1966.8466666666666,,
2016,2109.83,,
2016,1881.8725,,
2016,1636.545,,
2016,2366.0,,
2016,2234.4,,
2016,3767.6400000000003,,
2016,2482.925,,
2016,2143.57,,
2016,3134.41,,
2016,2595.9333333333334,,
2016,3117.5,,
2016,2595.9333333333334,,
2017,2530.5379999999996,,
2017,2592.1666666666665,,
2017,3238.4833333333336,,
2017,2752.36,,
2017,2428.9,,
2017,2766.6683333333335,,
2017,2129.2599999999998,,
2017,2501.48,,
2017,1938.205,,
2017,2633.0,,
2017,3244.275,,
2017,3837.0,,
2017,2615.51,,
2017,3023.67,,
2017,3129.08,,
2017,2479.6666666666665,,
2017,4938.9,,
2017,2479.6666666666665,,
2018,2257.026,,
2018,2223.9366666666665,,
2018,2758.0866666666666,,
2018,2014.06,,
2018,1720.0,,
2018,2376.695,,
2018,2656.41,,
2018,2488.5325000000003,,
2018,1794.54,,
2018,2374.7,,
2018,2512.2250000000004,,
2018,3918.5199999999995,,
2018,3048.235,,
2018,2241.85,,
2018,2985.8450000000003,,
2018,3317.1666666666665,,
2018,3033.2,,
2018,3317.1666666666665,,
2019,2178.694,,
2019,2374.0,,
2019,2058.4224999999997,,
2019,1824.675,,
2019,1860.68,,
2019,1824.6533333333334,,
2019,2457.61,,
2019,2191.6975,,
2019,1688.955,,
2019,1949.5500000000002,,
2019,1749.7333333333333,,
2019,2314.8625,,
2019,2765.9399999999996,,
2019,2377.15,,
2019,2365.4933333333333,,
2019,2895.8333333333335,,
2019,3433.6,,
2019,2895.8333333333335,,
2020,2452.134,,
2020,2398.4233333333336,,
2020,3145.3425,,
2020,1762.865,,
2020,2059.51,,
2020,2301.741666666667,,
2020,1889.75,,
2020,2485.235,,
2020,1971.5700000000002,,
2020,1996.0,,
2020,2372.7166666666667,,
2020,3961.35,,
2020,2996.63,,
2020,2569.16,,
2020,3284.7933333333335,,
2020,3139.2000000000003,,
2020,4301.3,,
